time,provider_id,electricity_cost
0,provider,2.7000000000000002e-05
3600.0,provider,2.3e-05
7200.0,provider,2e-05
10800.0,provider,1.9e-05
18000.0,provider,2.3e-05
21600.0,provider,2.9999999999999997e-05
25200.0,provider,3.8e-05
28800.0,provider,3.5e-05
32400.0,provider,2.4e-05
36000.0,provider,1.8e-05
39600.0,provider,1.6e-05
43200.0,provider,1.4999999999999999e-05
46800.0,provider,1.4000000000000001e-05
50400.0,provider,1.4999999999999999e-05
54000.0,provider,1.6e-05
57600.0,provider,2.1e-05
61200.0,provider,2.7000000000000002e-05
64800.0,provider,3.6e-05
68400.0,provider,5e-05
72000.0,provider,5.9e-05
75600.0,provider,5.1e-05
79200.0,provider,4.1e-05
82800.0,provider,3.2e-05
